"","Country.Code","Logistics.performance.index","Agriculture..forestry..and.fishing..value.added....of.GDP.","GDP.per.capita","Gender.Parity.Index..GPI.","School.enrollment..primary....net.","Low.income.and.Mortality.rate.attributed.to.unsafe.water..unsafe.sanitation.and.lack.of.hygiene","health.expenditure","Prevalence.of.undernourishment....of.population."
"1","AFG",1.835473,20.6343227166798,642.740392157453,0.691150009632111,27,13.9,10.09395812,29.3
"2","AGO",2.133789,9.12253447070414,4629.97742651668,0.864740014076233,78,48.8,2.9504308,24.8
"4","BEN",2.391474,22.4927607161793,871.070086445493,0.930230021476746,97,59.7,3.99181962,9.9
"5","BFA",2.668512,30.2716660727511,639.238282418123,0.974439978599548,69,49.6,5.82531598,20.8
"7","BOL",2.109668,10.239494241516,3373.30246099197,0.972150027751923,88,5.6,6.42235639,19.6
"10","CIV",2.463248,22.735623257338,1584.95316159134,0.880320012569427,78,47.2,5.26271074,21.1
"11","CMR",2.205693,14.772472349771,1474.4103079781,0.898779988288879,94,45.2,4.69952298,6.5
"16","DJI",2.297812,1.77688986354712,1986.08611114742,0.888149976730347,56,31.3,4.38930145,19.4
"19","ETH",2.117674,36.0569753905786,710.338177483271,0.908819973468781,85,43.7,3.97593223,22.8
"21","GHA",2.484248,20.2471754785241,1962.22855654619,1.00117003917694,90,18.8,6.08769695,6.3
"25","HND",2.03975,12.2159784468116,2540.22226527342,0.990490019321442,81,3.6,7.71396922,15.5
"27","IDN",2.645161,13.4926435578886,3701.88347509587,0.968529999256134,93,7.1,3.0053613,7.3
"28","IND",3.337178,16.1745081066222,1784.00603454473,1.11917996406555,92,18.6,3.59770551,15.3
"29","KEN",3.209709,30.1924094509524,1485.42594338833,0.998929977416992,80,51.2,4.89013852,22.5
"30","KGZ",1.96,14.0607643300857,1245.64759456377,0.992780029773712,89,0.8,7.21937462,6.5
"31","KHM",2.362919,26.5803600137747,1292.11657774612,0.992850005626678,95,6.5,6.17148507,18.7
"33","LAO",1.761834,17.5881439571829,2371.89358202179,0.960569977760315,97,11.3,2.45366446,16.7
"34","LBR",2.012614,34.3706956248033,789.315397463905,0.904540002346039,38,41.5,10.18906067,38.4
"35","LSO",1.961644,4.97062989812616,1354.64205845631,0.967710018157959,80,44.4,8.34570567,12.9
"36","MAR",2.46142,12.628068222076,3194.7310946309,0.946919977664948,99,1.9,5.41232575,3.9
"38","MDG",2.118222,23.4861075834636,446.764790855352,0.999729990959167,96,30.2,5.50418518,41.1
"39","MLI",2.299231,37.7232568576052,834.633885069962,0.897539973258972,56,70.7,4.11122936,5.9
"41","MNG",2.051282,13.3561451328882,4353.97685988393,0.981869995594025,97,1.3,3.8824954,18.5
"42","MOZ",2.238017,22.9439489373622,608.042326503886,0.916660010814667,90,27.6,5.18223307,30.4
"43","MRT",1.542857,24.5231814291077,1327.01390597672,1.05016005039215,80,38.6,4.64444537,9.4
"45","NER",2.222419,36.3323358834131,400.948204523274,0.852989971637726,62,70.8,7.09101535,12.3
"48","NPL",2.266667,29.3829458795774,880.614322881534,1.08185994625092,97,19.8,6.21927182,9.5
"49","PAK",2.697275,23.817063587239,1507.40859038981,0.854499995708466,74,19.6,2.68711914,20.9
"50","PHL",2.550097,10.2601851963279,3185.7244335792,0.971170008182526,96,4.2,4.32136857,13.9
"54","RWA",2.621956,28.0075429548457,808.979730433786,1.01140999794006,95,19.3,6.51938268,34
"55","SDN",2.201694,31.4185582789066,2763.05073184749,0.916649997234344,57,17.3,6.80492247,25.1
"56","SEN",2.233494,14.2824516828913,1354.18249600902,1.12023997306824,73,23.9,5.58568729,11.7
"58","SLE",2.069467,58.6518937048545,653.587169669832,1.009889960289,92,81.3,20.4146101,25.7
"59","SLV",2.249288,5.52972407484521,4117.30882886863,0.95863002538681,86,2,6.86405934,11
"62","STP",2.117817,12.2286339446274,1773.17935861917,0.956239998340607,91,11.4,5.349902,9.8
"65","TCD",2.074374,50.3955822999691,861.897248349727,0.775699973106384,80,101,4.54621344,38.4
"66","TGO",2.236628,39.772544489248,634.089707861799,0.947309970855713,95,41.6,6.24938169,16.2
"69","TUN",2.444444,10.2876618467064,4288.68270708211,0.971660017967224,98,1,7.00675038,4.7
"70","TZA",2.811586,26.745885729563,1053.25938498656,1.03067004680634,81,38.4,3.78969995,32.1
"71","UGA",2.739724,23.9815827987955,787.801153987957,1.01924002170563,95,31.6,6.33395034,38.6
"73","UZB",2.44683,30.7733232009869,2905.58348276333,0.984860002994537,94,0.4,6.0955821,7.3
"74","VNM",2.695191,16.9922120022076,2316.77942677643,0.992079973220825,98,1.6,5.65262114,11.1
"77","ZMB",2.262771,4.9808295402307,1480.21591226323,1.00315999984741,83,34.9,4.43510226,44.4
