"","Country.Code","Gender.Parity.Index..GPI.","School.enrollment..primary....net.","Low.income.and.Mortality.rate.attributed.to.unsafe.water..unsafe.sanitation.and.lack.of.hygiene","health.expenditure"
"3","BDI",1.01013004779816,93,65.4,4.88310844
"4","BEN",0.930230021476746,97,59.7,3.99181962
"5","BFA",0.974439978599548,69,49.6,5.82531598
"7","BOL",0.972150027751923,88,5.6,6.42235639
"8","BTN",1.01191997528076,83,3.9,3.65892296
"10","CIV",0.880320012569427,78,47.2,5.26271074
"11","CMR",0.898779988288879,94,45.2,4.69952298
"15","CPV",0.934509992599487,87,4.1,5.31378574
"16","DJI",0.888149976730347,56,31.3,4.38930145
"18","ERI",0.860719978809357,42,45.6,2.96577289
"19","ETH",0.908819973468781,85,43.7,3.97593223
"20","FSM",1.00294995307922,84,3.6,12.20112314
"21","GHA",1.00117003917694,90,18.8,6.08769695
"23","GMB",1.06774997711182,73,29.7,4.76148864
"25","HND",0.990490019321442,81,3.6,7.71396922
"27","IDN",0.968529999256134,93,7.1,3.0053613
"30","KGZ",0.992780029773712,89,0.8,7.21937462
"31","KHM",0.992850005626678,95,6.5,6.17148507
"32","KIR",1.03233003616333,95,16.7,7.84410495
"33","LAO",0.960569977760315,97,11.3,2.45366446
"34","LBR",0.904540002346039,38,41.5,10.18906067
"35","LSO",0.967710018157959,80,44.4,8.34570567
"36","MAR",0.946919977664948,99,1.9,5.41232575
"37","MDA",0.989929974079132,87,0.1,10.17688536
"38","MDG",0.999729990959167,96,30.2,5.50418518
"39","MLI",0.897539973258972,56,70.7,4.11122936
"41","MNG",0.981869995594025,97,1.3,3.8824954
"42","MOZ",0.916660010814667,90,27.6,5.18223307
"43","MRT",1.05016005039215,80,38.6,4.64444537
"45","NER",0.852989971637726,62,70.8,7.09101535
"48","NPL",1.08185994625092,97,19.8,6.21927182
"49","PAK",0.854499995708466,74,19.6,2.68711914
"50","PHL",0.971170008182526,96,4.2,4.32136857
"54","RWA",1.01140999794006,95,19.3,6.51938268
"55","SDN",0.916649997234344,57,17.3,6.80492247
"56","SEN",1.12023997306824,73,23.9,5.58568729
"57","SLB",0.989319980144501,71,6.2,5.24872732
"58","SLE",1.009889960289,92,81.3,20.4146101
"59","SLV",0.95863002538681,86,2,6.86405934
"62","STP",0.956239998340607,91,11.4,5.349902
"63","SWZ",0.912840008735657,76,27.9,7.772143
"65","TCD",0.775699973106384,80,101,4.54621344
"66","TGO",0.947309970855713,95,41.6,6.24938169
"67","TJK",0.986240029335022,94,2.7,6.85367879
"68","TLS",0.985000014305115,84,9.9,3.49424362
"70","TZA",1.03067004680634,81,38.4,3.78969995
"73","UZB",0.984860002994537,94,0.4,6.0955821
"75","VUT",0.983579993247986,86,10.4,4.15322859
"77","ZMB",1.00315999984741,83,34.9,4.43510226
